Symbol Frequency
   t     20.59%
   a     14.71%
   e     8.82%
   r     8.82%
   i     5.88%
   p     5.88%
   n     5.88%
   g     2.94%
   W     2.94%
   m     2.94%
   h     2.94%
   k     2.94%
   s     2.94%
   o     2.94%
   y     2.94%
   u     2.94%
   x     2.94%

Symbol Frequency
   t     00
   a     110
   e     1110
   r     1111
   i     1011
   p     0110
   n     0100
   g     10001
   W     01110
   m     10101
   h     10010
   k     10011
   s     01010
   o     10000
   y     01011
   u     10100
   x     01111

Total Bits:127
